model	Kest	Sensitivity	Precision	rmse_sig	rmse_theta	rmse_Betas	rmse_lambda	rmse_counts	time	iter	effectiveBetas	effectiveSigs	effectiveTheta	effectiveMu	effectiveSigma2	effectiveLogPost	effectiveLogLik	effectiveLogPrior	Simulation	Scenario	n
CompNMFBase	8	1	1	0.002976931886878285	44.82193997092753	0.36043527563674044	0.094524694682674	0.10802204877145752	0.0031783262888590495	4256	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_CopyOnly	8	1	1	0.003230200199001058	44.67863695105094	0.36043527563674044	0.0936647747618946	0.10724907699569522	5.357114601135254	499	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_NoCopies	8	1	1	0.0014700703463927857	21.74546800085384	0.017254392828855436	0.00788448158467594	0.052456686571100405	11.855693300565084	219	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_TrueCovs	8	1	1	0.001503938948182751	21.60567518464767	0.011175020053687569	0.001414454644983207	0.0518982700814864	18.996616792678832	359	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
map_Full	8	1	1	0.001512184933258893	21.69038423071231	0.014071878494915483	0.0017232415117211812	0.05188863097595828	17.140330843130748	269	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
mcmc_Full	8	1	1	0.0020872868957081923	26.420636997819656	0.015205965314840487	0.001723897693911757	0.05188831612802538	151.71814360221225	NA	49.64306738115448	370.162751965166	418.5736684619129	1132.9655029375435	1398.2194373510436	324.76393270444333	272.1058608941727	560.3739753362083	Simulation_01	Scenario_A_indep	86047
map_TrueCovs200	8	1	1	0.0015129477735900637	21.557492578369114	0.014313978208404339	0.009815046217151862	0.052629750171178664	20.544829825560253	359	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
mcmc_TrueCovs200	8	1	1	0.002058416225204094	26.033989682034242	0.014650993015530108	0.009811287093933724	0.052625316052428345	135.67951500018438	NA	49.524003917536234	374.0652720396571	426.9117151417257	1206.3528672362713	1405.478324428034	562.8483714371404	394.87443652080674	649.6314805921363	Simulation_01	Scenario_A_indep	86047
map_TrueCovs500	8	1	1	0.0015085324438184806	21.602760186102252	0.01401709957692266	0.01790760756213621	0.05483918463074496	9.601373648643493	169	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_01	Scenario_A_indep	86047
mcmc_TrueCovs500	8	1	1	0.00208223696108226	26.40805789933373	0.01493277278142191	0.017910919101149374	0.05483928209482519	103.00243529876073	NA	47.13764992119707	372.42833431446866	432.8884034649993	1192.6466168348913	1350.2251182897883	496.60917412096745	475.1650979370766	521.6777113948845	Simulation_01	Scenario_A_indep	86047
CompNMFBase	8	1	1	0.004294294003999571	44.10941391626276	0.3536794521275586	0.11658888063417183	0.12782436630576882	0.0026885668436686196	2768	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_CopyOnly	8	1	1	0.004270228533996814	44.920336044697144	0.3536794521275586	0.11595977146268206	0.12724164733279525	8.701831181844076	659	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_NoCopies	8	1	1	0.0014969700150631018	20.136126588725617	0.020653349144732405	0.006808678041781771	0.05488567443079552	26.07578547000885	449	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_TrueCovs	8	1	1	0.0013245171491747516	18.659374615428625	0.010148606327075907	0.002531311567400463	0.054610233642310574	22.508213047186533	399	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
map_Full	9	0.875	0.7777777777777778	0.005302520978440215	189.3904030154853	0.1615440361746491	0.0030295272785465506	0.0545795235202349	56.414431091149645	819	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
mcmc_Full	8	1	1	0.0023090616829333356	20.315380362370234	0.01341586558630532	0.0031331602945166106	0.054593675100583806	128.97951897382737	NA	47.20532783903442	442.9348806358079	438.24051218135213	1179.4375873052288	1456.849184002859	533.0326653958128	338.0162681965074	598.2094954879958	Simulation_02	Scenario_A_indep	95425
map_TrueCovs200	8	1	1	0.001325978655185439	18.687473721914987	0.012114311452364928	0.012202145125702007	0.05595325306763348	23.13490156730016	379	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
mcmc_TrueCovs200	8	1	1	0.0023197507087713318	20.60033286362427	0.013287341056188394	0.01222627332123402	0.05597719130655443	143.14733841419218	NA	47.11763450158725	444.7414801210303	435.432484996375	1225.110701326205	1500	644.9786903793193	553.760993083404	629.81091429786	Simulation_02	Scenario_A_indep	95425
map_TrueCovs500	8	1	1	0.001361775824946534	18.822679165324406	0.012308017328659196	0.021090304009129257	0.05816169807151057	22.740456116199493	389	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_02	Scenario_A_indep	95425
mcmc_TrueCovs500	8	1	1	0.0023963966918298814	20.83236968362022	0.013529306172724145	0.021115600565081473	0.05817818788885185	98.41784851153692	NA	46.58851438050704	441.13040478655273	449.9808132851836	1301.7563115965904	1292.771472691802	526.5691538635147	353.7284975193296	635.8150071429789	Simulation_02	Scenario_A_indep	95425
CompNMFBase	8	1	1	0.004115405023170682	45.769755190154754	0.26133851478378534	0.04712220799135123	0.06536933164612235	0.00514376958211263	3996	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_CopyOnly	8	1	1	0.004140811861045461	46.032067415268294	0.26133851478378534	0.04696792374275431	0.06522245482169856	9.050490005811055	979	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_NoCopies	8	1	1	0.0021335375043985156	23.341529020302605	0.019767770118700814	0.005199038186702971	0.04559260858018303	12.9722203373909	289	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_TrueCovs	8	1	1	0.0021200477382079673	23.45682242179364	0.011112042123479098	0.0014411813838399333	0.045336008440077694	10.123207986354828	239	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
map_Full	8	1	1	0.002095866742284897	23.043572327563208	0.01524096308154724	0.0016457316996882042	0.04531945110039907	14.344927000999451	279	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
mcmc_Full	8	1	1	0.003294375799161534	36.03252292699391	0.017158998879815045	0.0015497990035708658	0.045318033480802565	132.38556117216746	NA	46.022057555925315	267.56609436927863	327.16704229900887	842.4809247437598	1360.1047477846369	335.25500949842615	259.835866437262	585.8955706784526	Simulation_03	Scenario_A_indep	65793
map_TrueCovs200	8	1	1	0.002074341569432536	22.66900922246592	0.015119112527754533	0.0042657115051769195	0.045483657739885164	11.834250962734222	269	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
mcmc_TrueCovs200	8	1	1	0.0032449172680101158	35.37963763153673	0.016992391490700847	0.004236956301823077	0.045482764180161964	113.63609221378962	NA	47.099103536244726	270.76057299105764	328.7479414638156	921.1558823517903	1460.498477549273	453.232284600896	283.60405555062783	580.127481458415	Simulation_03	Scenario_A_indep	65793
map_TrueCovs500	8	1	1	0.0021306932822155217	23.669993067920306	0.015115604622565082	0.007224385678560422	0.04575561227139459	11.134641734759013	239	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_03	Scenario_A_indep	65793
mcmc_TrueCovs500	8	1	1	0.0032933200953622144	36.25423725547755	0.01667241761292029	0.007209613639170104	0.04575453737286482	94.94388275941212	NA	44.63982905891243	266.52069025834743	336.57284936054225	987.1371819268004	1500.0000000000007	418.86273422623964	264.2533083207018	551.0184614341123	Simulation_03	Scenario_A_indep	65793
CompNMFBase	8	1	1	0.0036454171437681642	35.688260209178544	0.35860824113381784	0.11583501600878988	0.12684316239005253	0.006304462750752767	5167	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_CopyOnly	8	1	1	0.00385825013573193	42.89780121331992	0.35860824113381784	0.11649451967474504	0.1274501350823961	4.702004226048787	489	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_NoCopies	8	1	1	0.0014895664102669212	21.482976544178857	0.02107940503993817	0.011235918652982334	0.05106674557261343	25.659416699409483	489	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_TrueCovs	8	1	1	0.0014977790588598856	17.75436162593621	0.01332574897300937	0.002686517519909581	0.049700574864706686	27.24555311203003	519	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_Full	8	1	1	0.0014792832923432877	17.740303303086375	0.015582856950318236	0.0028881997529097876	0.049678581418298194	12.488724625110626	199	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
mcmc_Full	8	1	1	0.0036664673005608072	20.566795731497976	0.01541396885468183	0.002892568538690466	0.049674115720069086	140.80493835608164	NA	47.03902053950691	401.18732793678004	419.54152910286956	1167.0441607932692	1277.618935024915	433.74401173266443	465.3799231583669	541.3621397201548	Simulation_04	Scenario_A_indep	77639
map_TrueCovs200	8	1	1	0.0015043602406357888	17.841312578269697	0.015761702505910212	0.011163398334090326	0.05091712497137381	13.56223478714625	259	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
mcmc_TrueCovs200	8	1	1	0.0036516562711735984	20.723570015299302	0.015101522446827694	0.011140243232996151	0.05092021404243563	126.69989351431528	NA	46.07929367139498	398.95976359354347	420.9898421193781	1039.2469106006424	1441.6124761840404	562.563316194094	348.6704410982763	595.6305789028229	Simulation_04	Scenario_A_indep	77639
map_TrueCovs500	8	1	1	0.0015110478502993335	17.819623259102432	0.015961009240929455	0.02041632065430835	0.054238354904472985	10.777216291427612	209	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
mcmc_TrueCovs500	8	1	1	0.003693699132436242	20.54053098269563	0.01588301358998533	0.020420428068631338	0.05424175464983464	102.94714641968409	NA	44.37894187136194	396.95086807940703	424.924585972027	1075.86605264024	1485.6235617334514	558.3619743374509	391.7537860813436	405.7748163008922	Simulation_04	Scenario_A_indep	77639
CompNMFBase	8	1	1	0.0026584011456510185	47.52975024897324	0.371604871954419	0.13095650299979972	0.14230360237377207	0.0029221614201863605	3787	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	102028
map_CopyOnly	8	1	1	0.0027442623588575733	49.95485897909917	0.371604871954419	0.1312851437468347	0.14261868485683502	7.993530205885569	589	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	102028
map_NoCopies	8	1	1	0.001278417347922715	21.543445536678423	0.018146478872706148	0.009233008297021415	0.057297956585364254	31.421083557605744	479	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	102028
map_TrueCovs	8	1	1	0.0012659867035248666	19.995911252602728	0.011176301786875354	0.0025714187341926917	0.05673267709280504	45.24986787637075	669	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	102028
map_Full	8	1	1	0.0012530997445370905	19.48925736260546	0.012954949826582764	0.003558514031751323	0.05668615379179777	28.0531623562177	339	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	102028
mcmc_Full	8	1	1	0.0018672409917061825	25.990444547232375	0.01582049179072789	0.0033184148970769644	0.05669387862030573	133.25402865012487	NA	50.09625189871285	375.1328067690863	487.2949100842475	1038.5590727977858	1421.7662306468771	453.3962426043474	403.1377130973873	661.2410444493488	Simulation_05	Scenario_A_indep	102028
map_TrueCovs200	8	1	1	0.0012703702122349335	19.55152208684602	0.013205975086681884	0.017649257514062273	0.05917513024292724	23.080890973409016	359	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	102028
mcmc_TrueCovs200	8	1	1	0.0018730253740536335	25.85538324139595	0.016668687951218366	0.017634894979933553	0.059188992800121555	151.45767621596653	NA	49.60543410359042	380.05171376207954	470.99376896803733	1195.625356562469	1465.7117613428852	409.9328352886442	422.50963376916314	487.6335914989033	Simulation_05	Scenario_A_indep	102028
map_TrueCovs500	8	1	1	0.0012809730053234877	19.68212379315949	0.013233949798503017	0.029475797924880427	0.06465344325694646	15.301123722394307	249	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_05	Scenario_A_indep	102028
mcmc_TrueCovs500	8	1	1	0.0018666760622059887	26.09008509245924	0.016401922494277164	0.029466546574872916	0.06465870751768936	100.6187391559283	NA	48.08607202707965	374.79705882504425	478.56656060201453	1082.2609897817265	1493.464284073743	506.6718681942056	272.36791973894555	511.12106514754373	Simulation_05	Scenario_A_indep	102028
CompNMFBase	8	1	1	0.003629455531241901	28.95296403023017	0.32962136949714665	0.09783223422301844	0.10944505775090949	0.0034227331479390463	3249	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	86146
map_CopyOnly	8	1	1	0.0036897548141046344	29.81872269173198	0.32962136949714665	0.09775856996733562	0.10935756825301046	3.4036731004714964	349	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	86146
map_NoCopies	8	1	1	0.0015786034391567982	17.91980831118537	0.019905378100596713	0.007564918214892261	0.05228143662387093	12.038564582665762	259	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	86146
map_TrueCovs	8	1	1	0.0015417990878951176	17.89622489564225	0.010694864140236156	0.002735354411822051	0.05173372826531741	16.438109703858693	339	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	86146
map_Full	8	1	1	0.0015493862742970072	17.984210041950377	0.015458978842013362	0.0031821811341833923	0.05173174065169382	10.362767930825552	179	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	86146
mcmc_Full	8	1	1	0.003129629594649429	23.115192051171917	0.015488818727093406	0.0030112904374077027	0.051726074205268986	154.74815142154694	NA	49.95430191998641	385.26565496812935	422.1513331948908	1228.1146958797463	1379.1793943362647	434.99610207258183	284.7578293032864	570.1128232579304	Simulation_06	Scenario_A_indep	86146
map_TrueCovs200	8	1	1	0.0015345405523040073	18.031253299983934	0.015416253256584148	0.010099806516559643	0.05254172737236283	23.321010541915893	399	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	86146
mcmc_TrueCovs200	8	1	1	0.0031434066395551463	23.203159605702286	0.015491685162942269	0.010047799523663315	0.05253809308516545	134.01401139100392	NA	51.704290327131595	386.18850688728344	442.7605061972115	1368.2242168612515	1443.4830647277456	575.4108476741857	258.33258339378074	644.3505992705386	Simulation_06	Scenario_A_indep	86146
map_TrueCovs500	9	1	1	0.004836224140463137	108.45928934241992	0.11380025724485178	0.01724591532264169	0.054403836027605054	18.177719728151956	329	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_06	Scenario_A_indep	86146
mcmc_TrueCovs500	8	1	1	0.0031467193352152007	22.959710671521886	0.015502201712894586	0.017207545690225215	0.05439831902749818	100.9682395497958	NA	48.44997601664999	385.25159804138434	430.2138588498122	1158.8428230364552	1514.6399014564824	537.6524278766858	426.25812880346876	639.913990992988	Simulation_06	Scenario_A_indep	86146
CompNMFBase	8	1	1	0.0036255340044461324	66.78197992833896	0.3716477298480171	0.2739644899008176	0.2769655364371276	0.007769393920898438	5948	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	112928
map_CopyOnly	8	1	1	0.0038817772195177186	67.14677373305173	0.3716477298480171	0.27420429877372904	0.27719890448800466	6.562477628389995	459	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	112928
map_NoCopies	8	1	1	0.0017270634644153194	28.24061204636726	0.01678293915525123	0.015065565666676743	0.06075571594770097	27.19700276851654	399	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	112928
map_TrueCovs	8	1	1	0.0017645750778424853	25.89554552341163	0.006432580703565706	0.0027473286627604193	0.05972490725356298	40.74519075949987	569	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	112928
map_Full	8	1	1	0.0017776093435989456	25.993277723679373	0.01199035387677518	0.004831278488785542	0.059594371331175046	53.75809994141261	609	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	112928
mcmc_Full	8	1	1	0.0029195257311601117	30.853858739056207	0.014126558801782343	0.004791448208697865	0.059592317977456545	124.80626596609751	NA	49.04861716776435	390.1204387382736	448.04299023056575	1198.4587755173961	1472.0410424926229	511.20867977516093	378.4811295559396	596.370823146127	Simulation_07	Scenario_A_indep	112928
map_TrueCovs200	8	1	1	0.0017754906778405673	25.90427551562487	0.012101304196475884	0.025383430816594863	0.06325116630954611	14.736046814918518	219	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	112928
mcmc_TrueCovs200	8	1	1	0.002889252041630646	30.359434484068196	0.014144921378045629	0.02539690253230067	0.06324142353264035	160.91158454020817	NA	48.10142658396259	387.8160525333073	448.91250030759244	1250.0218858636113	1481.3457280283137	434.3789821119784	389.9533166498655	483.973790746189	Simulation_07	Scenario_A_indep	112928
map_TrueCovs500	8	1	1	0.0018124624736235765	26.090094754493823	0.012132669832512915	0.04275002971950213	0.07123373374024793	33.61169344186783	489	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_07	Scenario_A_indep	112928
mcmc_TrueCovs500	8	1	1	0.0030021518664307104	30.811777286710953	0.013984042662419814	0.042745671878194655	0.0712407120513196	90.52116252183913	NA	47.03173827930201	383.1949592916791	441.1232785446707	1186.203649340779	1433.2137361667944	533.2262316808414	548.8422039375325	587.1899898028306	Simulation_07	Scenario_A_indep	112928
CompNMFBase	8	1	1	0.00419191186472499	85.3587999419758	0.428061643647089	0.2808293020236205	0.2887625232741138	0.014684542020161947	7122	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	126279
map_CopyOnly	8	1	1	0.004394532742199312	88.72347072541606	0.428061643647089	0.28065281594560854	0.288594841627414	24.507636654376984	1149	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	126279
map_NoCopies	8	1	1	0.0011315698261816771	21.352930292210498	0.01568593381288552	0.01412501072136688	0.06339488594973108	41.25641031662623	499	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	126279
map_TrueCovs	8	1	1	0.0011236197200289362	20.052070449030627	0.008482260649959151	0.0030866959032238603	0.062186518185200705	33.80685787995656	389	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	126279
map_Full	8	1	1	0.001131995795549478	20.116957062029545	0.010928598180480297	0.0036874842869610265	0.06212197145051314	63.169293030103056	649	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	126279
mcmc_Full	8	1	1	0.0016886913683576677	23.421580028991077	0.011944673966476175	0.003622027781485162	0.06212432211173728	98.35163710514705	NA	47.31899514913757	425.2658060926335	455.89424789905263	1278.8585710517284	1465.5135970702654	505.97844284746185	497.35559331769764	596.0982530065426	Simulation_08	Scenario_A_indep	126279
map_TrueCovs200	8	1	1	0.0011363445875500287	20.104075313685104	0.011034036240686891	0.03660065210852745	0.07415885954687224	104.55590846935908	1239	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	126279
mcmc_TrueCovs200	8	1	1	0.0017104254777688432	23.8690027662472	0.012324339814931183	0.03659602881202615	0.07416002548757013	163.14970964988072	NA	50.06919867286388	424.489552965003	456.800532843153	1141.7471236581953	1434.3931367231412	563.289493424657	500.011998008288	574.1569793788057	Simulation_08	Scenario_A_indep	126279
map_TrueCovs500	8	1	1	0.001134108662076223	20.25421255789426	0.011266221223690844	0.061554109966025256	0.08958976654056168	11.279511908690134	209	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_08	Scenario_A_indep	126279
mcmc_TrueCovs500	8	1	1	0.0017208587164600658	23.810125375830385	0.012416520201378463	0.06154675155380808	0.08958994699847928	36.030688579877214	NA	48.51467230295331	421.368265627366	488.8397569247044	1191.077989132926	1468.2413868805857	318.63026425749734	410.3586581493835	713.7561531557313	Simulation_08	Scenario_A_indep	126279
CompNMFBase	8	1	1	0.003797528942596768	40.243329506289676	0.29811669993982515	0.08973093201127692	0.10205136051464751	0.0031418760617574057	3350	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	79835
map_CopyOnly	8	1	1	0.003819801033530365	40.946091844321835	0.29811669993982515	0.09027843372644055	0.10251081375046096	3.748957351843516	389	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	79835
map_NoCopies	8	1	1	0.0020260113417165503	21.89293933139132	0.01964640053789887	0.006244966464667606	0.050397358351794735	26.240654949347178	499	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	79835
map_TrueCovs	8	1	1	0.0019916847897449557	21.534453367697544	0.011054729286533223	0.0018793547184580931	0.0499901310998519	25.441459623972573	479	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	79835
map_Full	8	1	1	0.0020000768288362765	21.597721217936197	0.014299842081758609	0.002378311637602021	0.049968205308089424	17.278308792908987	269	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	79835
mcmc_Full	8	1	1	0.0030731356863641056	27.237384899938597	0.015998852780264756	0.002304449322297429	0.04996649909339629	140.80887516736985	NA	50.53051546054495	365.0058713963007	462.90100303296555	1139.6696439451566	1456.3128764513317	483.99463436252864	304.1171344395273	521.9493454896765	Simulation_09	Scenario_A_indep	79835
map_TrueCovs200	8	1	1	0.0020002570040065413	21.54553684828441	0.014342079122682686	0.009358579265405322	0.0507174680784364	7.256320754686992	139	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	79835
mcmc_TrueCovs200	8	1	1	0.003082246988383105	27.42575171543396	0.016040994228287905	0.009376330439973048	0.0507149929908758	128.20795891284942	NA	52.07663907675585	362.5034402098311	498.0293224657575	1162.8046490657412	1559.738083102858	334.8715902885044	268.28750142213676	544.0592434927157	Simulation_09	Scenario_A_indep	79835
map_TrueCovs500	8	1	1	0.0019762487009497877	21.335922362615957	0.014374047636631651	0.016530430314068666	0.05256568340984664	9.231339355309805	169	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_09	Scenario_A_indep	79835
mcmc_TrueCovs500	8	1	1	0.0030942050210152373	27.46821111661966	0.015850285102365618	0.016508482669463576	0.05256407841092278	104.96282082398733	NA	49.65847478212146	359.9041413207671	466.3250796664534	1257.090876947536	1499.999999999999	508.7192013667994	415.93879075387696	505.8085877575243	Simulation_09	Scenario_A_indep	79835
CompNMFBase	8	0.875	0.875	0.003789451610433251	53.065444258651986	0.319614826944336	0.05156045578174642	0.07190811613270087	0.0038724184036254884	3648	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	80466
map_CopyOnly	9	0.75	0.6666666666666666	0.022210261805313544	110.83199112176368	0.30133574866680646	0.05104697882094854	0.07151517805545235	3.1375198086102802	359	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	80466
map_NoCopies	8	1	1	0.0015748844710819726	20.64315262480612	0.018902769498423698	0.006279599634593064	0.050897927436051135	6.645108111699423	159	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	80466
map_TrueCovs	8	1	1	0.001524218092927875	20.02499118087332	0.008770890011786681	0.0017735681665283663	0.05053226621446598	7.9726793964703875	189	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	80466
map_Full	8	1	1	0.0015188764910482255	19.959140610431216	0.012792538782611756	0.002257179879911266	0.05050601580131939	12.634111607074738	239	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	80466
mcmc_Full	8	1	1	0.0024706493190037168	23.6296060078956	0.014174926522174006	0.002125430144327045	0.050503499975965274	149.65290928284327	NA	54.04662846304797	443.9329987998202	488.0870755724166	1304.0148340986245	1362.8907028330973	528.9556260045063	480.4276921881944	529.504999426638	Simulation_10	Scenario_A_indep	80466
map_TrueCovs200	8	1	1	0.0015267428132851072	20.015964692093117	0.012786424926276038	0.00599200156084693	0.050814491825642294	8.27822409470876	159	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	80466
mcmc_TrueCovs200	8	1	1	0.002509497528091955	24.12052140196939	0.014510376182021488	0.005922121507073167	0.0508112047511598	127.84604074557622	NA	52.320405248795666	444.5863124432292	466.53827303307895	1120.463651137894	1480.8044830677359	496.3529860151873	321.3645620332791	593.4156384508657	Simulation_10	Scenario_A_indep	80466
map_TrueCovs500	8	1	1	0.0014990760955695085	19.97515694284588	0.012745390021131488	0.01027968332194124	0.05143237476406442	11.233562115828196	209	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_10	Scenario_A_indep	80466
